Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼,Player-additional
178,Karl-Anthony Towns,PF,27,MIN,21,21,709,153,303,.505,38,117,.325,115,186,.618,.568,92,104,.885,35,137,172,111,16,14,65,82,436,townska01
179,Markelle Fultz,PG,24,ORL,34,34,972,180,352,.511,13,43,.302,167,309,.540,.530,59,80,.738,38,87,125,188,51,12,80,69,432,fultzma01
180,Jarred Vanderbilt,PF,23,UTA,52,41,1254,173,311,.556,19,57,.333,154,254,.606,.587,67,102,.657,121,288,409,142,53,15,68,133,432,vandeja01
181,Walker Kessler,C,21,UTA,53,19,1092,184,259,.710,0,0,,184,259,.710,.710,57,104,.548,152,242,394,41,21,110,40,119,425,kesslwa01
182,Torrey Craig,SF,32,PHO,53,43,1347,162,352,.460,70,174,.402,92,178,.517,.560,27,37,.730,108,192,300,79,38,34,52,125,421,craigto01
183,Zach Collins,C,25,SAS,44,7,894,163,303,.538,24,68,.353,139,235,.591,.578,68,92,.739,81,169,250,108,16,29,83,137,418,colliza01
184,Andrew Nembhard,SG,23,IND,49,38,1345,164,384,.427,61,177,.345,103,207,.498,.507,26,30,.867,26,114,140,200,50,10,87,130,415,nembhan01
185,Seth Curry,SG,32,BRK,39,6,904,153,330,.464,74,174,.425,79,156,.506,.576,34,35,.971,10,67,77,81,26,7,41,74,414,curryse01
186,T.J. McConnell,PG,30,IND,53,5,1041,179,339,.528,16,36,.444,163,303,.538,.552,37,44,.841,31,122,153,269,55,5,92,68,411,mccontj01
187,Shaedon Sharpe,SG,19,POR,54,5,1074,165,351,.470,49,146,.336,116,205,.566,.540,30,46,.652,42,94,136,29,17,12,37,88,409,sharpsh01
188,Jalen Duren,C,19,DET,48,23,1195,170,257,.661,0,1,.000,170,256,.664,.661,63,100,.630,162,255,417,50,30,42,58,126,403,durenja01
189,Gordon Hayward,SF,32,CHO,30,30,930,148,333,.444,30,102,.294,118,231,.511,.489,76,93,.817,24,105,129,103,23,7,57,37,402,haywago01
190,Donte DiVincenzo,SG,26,GSW,45,12,1129,138,322,.429,91,221,.412,47,101,.465,.570,31,38,.816,42,155,197,149,59,4,63,81,398,divindo01
191,Tre Mann,PG,21,OKC,49,4,908,154,390,.395,63,206,.306,91,184,.495,.476,24,35,.686,19,95,114,76,32,9,46,78,395,manntr01
192,Jevon Carter,PG,27,MIL,54,30,1229,145,347,.418,81,200,.405,64,147,.435,.535,22,27,.815,25,115,140,140,55,24,60,108,393,carteje01
193,Draymond Green,PF,32,GSW,49,49,1555,155,304,.510,30,92,.326,125,212,.590,.559,53,77,.688,42,326,368,335,45,40,125,146,393,greendr01
194,Hamidou Diallo,SG,24,DET,47,0,785,159,276,.576,5,18,.278,154,258,.597,.585,69,121,.570,47,111,158,45,43,13,56,102,392,diallha01
195,Moritz Wagner,C,25,ORL,34,14,725,127,256,.496,34,107,.318,93,149,.624,.563,103,118,.873,48,122,170,58,22,7,44,95,391,wagnemo01
196,Al Horford,C,36,BOS,43,43,1324,147,318,.462,86,206,.417,61,112,.545,.597,10,14,.714,50,214,264,114,22,40,26,81,390,horfoal01
